rank,City,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
194,Yercaud,4.0959,3950,0.8935,0.2794,0.7287672876728768,0.7033832704983147,0.46123364485981305,0.667645
195,Vythiri,4.2453,1235,0.8477,0.3448,0.7735877358773589,0.5956695942193078,0.5101308411214954,0.667521
196,Teda,4.6977,86,0.6149,0.3839,0.909309093090931,0.3496962597782871,0.5393644859813086,0.667436
197,Pelling,4.1398,2976,0.9037,0.2854,0.7419374193741938,0.6771471936717651,0.46571962616822443,0.667257
198,Sohra,4.1299,3427,0.8774,0.2666,0.7389673896738967,0.6902220946475618,0.45166355140186915,0.666883
199,Nuvem,4.5949,195,0.7286,0.3314,0.8784687846878468,0.4249794791678271,0.5001121495327102,0.666751
200,Tiruchirappalli,4.1469,2933,0.8337,0.2772,0.7440674406744067,0.6757986132410679,0.4595887850467291,0.666691
201,Gotagodi,4.7969,64,0.5096,0.331,0.9390693906939069,0.32267526583482237,0.49981308411214953,0.6663
202,Kashid,4.3723,752,0.8493,0.301,0.8116881168811688,0.5497352978900372,0.47738317757009346,0.666241
203,Kozhikode,4.1794,2219,0.8935,0.2924,0.7538175381753818,0.6499511980187793,0.4709532710280374,0.666085
204,Mandarmani,4.3393,843,0.9111,0.3101,0.8017880178801787,0.5603100178740338,0.48418691588785057,0.665824
205,Aurangabad,4.0096,6335,0.9003,0.2655,0.7028770287702877,0.7471586866134767,0.4508411214953272,0.665754
206,Kasauli,4.2108,1755,0.8649,0.3015,0.7632376323763237,0.6282183532917491,0.47775700934579435,0.665636
207,Kakkanad,4.8947,19,0.4588,0.4464,0.968409684096841,0.21342603150675932,0.5860934579439254,0.665451
208,Kothamangalam,4.5669,127,0.7827,0.43,0.870068700687007,0.3854858240343628,0.5738317757009346,0.665446
209,Ezhome,5.0,1,,0.7667,1.0,0.0,0.8255700934579441,0.665114
210,Ernakulam,4.2463,1506,0.8343,0.2893,0.7738877388773887,0.6140444617814915,0.4686355140186916,0.664884
211,Thekkady,4.026,6040,0.9579,0.2509,0.7077970779707796,0.7427394161658227,0.43992523364485997,0.664705
212,Sawai Madhopur,4.0329,5411,0.9376,0.2549,0.7098670986709866,0.7325480995327509,0.4429158878504674,0.663281
213,Gulmarg,4.0532,4000,0.9694,0.2874,0.7159571595715958,0.704548901400211,0.46721495327102797,0.662786
214,Mainpuri,5.0,1,,0.75,1.0,0.0,0.8130841121495327,0.662617
215,Alibaug,4.1868,1911,0.9523,0.2816,0.7560375603756037,0.6361073000214884,0.4628785046728973,0.661427
216,Naggar,4.2421,1041,0.8498,0.3381,0.7726277262772627,0.5798438935316765,0.5051214953271029,0.661291
217,Somnath,4.1133,2683,0.9158,0.2905,0.7339873398733987,0.6675438069895139,0.46953271028037386,0.661163
218,Greater Noida,4.3486,568,0.8451,0.3415,0.8045780457804579,0.5237650400332331,0.5076635514018691,0.660951
219,Silvassa,4.2223,1318,0.8704,0.311,0.7666876668766687,0.6016938267040198,0.48485981308411213,0.660824
220,Chapora,4.2395,948,0.8552,0.354,0.7718477184771847,0.5711784751184569,0.5170093457943926,0.660679
221,Dhanbad,4.3896,367,0.7846,0.3792,0.8168781687816877,0.4833710800507034,0.5358504672897196,0.660621
222,Diveagar,4.3874,573,0.8108,0.2971,0.8162181621816219,0.5245759791322424,0.47446728971962615,0.660375
223,Pushkar,4.0488,4363,0.9098,0.2538,0.7146371463714637,0.7125985182701412,0.4420934579439253,0.659517
224,Kutch,4.2411,1240,0.8442,0.2929,0.7723277232772329,0.5960437963738103,0.4713271028037383,0.659242
