City,review_count,avg_rating,rating_std,min_rating,max_rating,unique_places,unique_reviewers,five_star_rate,rank,dense_rank,row_num,pct_rank,review_pct
Nathdwara,826,3.9262,1.0331,1.0,5.0,8,1,0.339,224,218,225,0.1235,0.06
Bhimashankar,819,4.1893,0.8562,1.0,5.0,1,1,0.4383,226,219,226,0.1247,0.06
Warangal,818,4.2237,0.8498,1.0,5.0,25,1,0.4548,227,220,227,0.1252,0.06
Palampur,791,4.1909,0.9333,1.0,5.0,15,1,0.4589,228,221,228,0.1258,0.05
Siliguri,789,4.2497,0.8353,1.0,5.0,14,1,0.4613,229,222,229,0.1263,0.05
Halebid,785,4.2369,0.8541,1.0,5.0,4,1,0.4611,230,223,230,0.1269,0.05
Dapoli,784,4.2959,0.8807,1.0,5.0,14,1,0.5115,231,224,231,0.1274,0.05
Porbandar,779,4.1605,0.8701,1.0,5.0,32,1,0.4146,232,225,232,0.128,0.05
Kumily,775,4.4413,0.7234,2.0,5.0,6,1,0.56,233,226,233,0.1285,0.05
Yelagiri,762,4.2165,0.8948,1.0,5.0,14,1,0.4698,234,227,234,0.1291,0.05
Murdeshwar,757,4.4716,0.7652,1.0,5.0,9,1,0.6129,235,228,235,0.1296,0.05
Sangla,756,4.2606,0.8407,1.0,5.0,8,1,0.4802,236,229,236,0.1302,0.05
Kashid,752,4.3723,0.8493,1.0,5.0,4,1,0.5585,237,230,237,0.1307,0.05
Velankanni,740,4.1811,0.8963,1.0,5.0,6,1,0.4378,238,231,238,0.1313,0.05
Srisailam,740,4.0595,0.8237,2.0,5.0,9,1,0.3365,238,231,239,0.1313,0.05
Old Goa,723,4.1342,0.8437,1.0,5.0,3,1,0.3928,240,232,240,0.1324,0.05
Mandya,721,4.1803,0.9148,1.0,5.0,31,1,0.4508,241,233,241,0.133,0.05
Hubli-Dharwad,719,4.4145,0.8043,1.0,5.0,22,1,0.5758,242,234,242,0.1335,0.05
Howrah,713,4.0926,0.9255,1.0,5.0,19,1,0.3983,243,235,243,0.1341,0.05
Vagamon,712,4.316,0.8077,1.0,5.0,10,1,0.4944,244,236,244,0.1346,0.05
Thiruvannamalai,707,4.232,0.8176,1.0,5.0,12,1,0.447,245,237,245,0.1352,0.05
