rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
163,Ashwem Beach,4.5867,513,0.6824,0.3689,0.8966750000000001,0.5928412217782425,0.6393714285714286,0.754064
164,Arulmigu Manakula Vinayagar Temple,4.3811,1388,0.737,0.3129,0.845275,0.6990486301537878,0.6073714285714286,0.753826
165,Sri Balaji Mandir,4.4647,893,0.7213,0.344,0.8661749999999999,0.651973092070576,0.6251428571428571,0.753708
166,Agadi Thota,4.7604,192,0.5267,0.448,0.9400999999999999,0.48819180321017225,0.6845714285714285,0.753422
167,Fort Aguada,4.311,1450,0.8092,0.3713,0.82775,0.7037140428529525,0.6407428571428572,0.753138
168,MG Marg,4.3635,1249,0.7398,0.3525,0.840875,0.6877837851103623,0.63,0.752773
169,Bekal Ripples,4.8207,145,0.5092,0.4514,0.9551750000000001,0.45837562472860494,0.6865142857142857,0.752403
170,Bannerghatta National Park,4.2082,2892,0.88,0.2836,0.8020499999999999,0.7774352847571457,0.5906285714285715,0.752381
171,Ambience Mall,4.3355,1368,0.8235,0.353,0.8338749999999999,0.697499132024186,0.6302857142857142,0.752244
172,Calangute Beach,4.2095,2573,0.9473,0.3135,0.8023750000000001,0.7649533205361001,0.6077142857142857,0.752216
173,Shanti Stupa,4.5205,611,0.6781,0.3756,0.880125,0.6114850711868132,0.6432,0.752148
174,Kalapathar Beach,4.3816,1284,0.8211,0.3189,0.8453999999999999,0.6907340797383279,0.6108,0.75208
175,Visvesvaraya Industrial and Technological Museum,4.301,1714,0.7651,0.3259,0.82525,0.7215727639052298,0.6148,0.752057
176,Woof Woof,4.768,194,0.5414,0.4248,0.942,0.4892932152670297,0.6713142857142858,0.752051
177,Chowmahalla Palace,4.2928,1643,0.8252,0.3447,0.8231999999999999,0.7170556530833048,0.6255428571428572,0.751825
178,DLF Promenade Mall,4.5321,483,0.6381,0.4239,0.883025,0.5864162786841413,0.6708,0.751597
179,Chhatrapati Shivaji Terminus,4.1186,3836,0.8598,0.2951,0.77965,0.8076054342820211,0.5972,0.751547
180,Kudroli Gokarnath Temple,4.5519,520,0.64,0.381,0.887975,0.5942863687657158,0.6462857142857142,0.751531
181,LuLu Mall,4.2864,1690,0.8278,0.3365,0.8216000000000001,0.720067122685869,0.6208571428571429,0.750992
182,Jagdish Temple,4.3196,1549,0.7746,0.3245,0.8299000000000001,0.7107654294705191,0.614,0.75098
183,Betab Valley,4.389,982,0.7685,0.3746,0.8472500000000001,0.662112188043358,0.6426285714285714,0.750784
184,Jolly Buoy Island,4.4949,693,0.7344,0.3559,0.8737250000000001,0.6249185983520218,0.6319428571428573,0.750727
185,Red Fort (Lal Quila),4.1192,4260,0.8963,0.2575,0.7798,0.8188032451475714,0.5757142857142857,0.750684
186,Junagarh Fort,4.3504,1116,0.7935,0.3793,0.8375999999999999,0.6757650496634531,0.6453142857142857,0.750592
187,Belur Math,4.3863,1227,0.7816,0.3128,0.8465750000000001,0.6858867275893081,0.6073142857142857,0.750516
188,Happy Valley Tea Estate,4.4558,678,0.8045,0.4005,0.86395,0.6225841422545302,0.6574285714285715,0.750236
189,Ganapatipule Beach,4.4559,851,0.7739,0.3335,0.8639749999999999,0.6468322229343468,0.6191428571428571,0.749866
190,Poovar Island,4.3304,1250,0.8135,0.3623,0.8326,0.6878692197596799,0.6356,0.749781
191,Habitat World Convention Centre,4.5765,510,0.6788,0.3414,0.8941250000000001,0.5922158383928146,0.6236571428571428,0.749459
192,Rishikonda Beach,4.4711,675,0.7896,0.3773,0.867775,0.6221110668397184,0.6441714285714285,0.749355
193,Global Vipassana Pagoda,4.4802,731,0.7351,0.3447,0.87005,0.6306138722098135,0.6255428571428572,0.749318
194,Eden Gardens,4.3198,1310,0.8053,0.3562,0.82995,0.6928741640893277,0.6321142857142857,0.74926
195,Pine Forest,4.3315,1110,0.7945,0.3876,0.832875,0.675189629834659,0.6500571428571428,0.749006
196,Athirappilly Waterfalls,4.4015,827,0.8224,0.3933,0.8503750000000001,0.6437795574507776,0.6533142857142857,0.748984
197,Karanji Lake,4.537,514,0.6751,0.3767,0.88425,0.5930488720346296,0.6438285714285714,0.748805
