Place,avg_rating,review_count,rating_std
Government House,5.0,1,
Church of Christ the King,5.0,4,0.0
Gomowgli,5.0,1,
Gramathil Oru Naal,5.0,1,
Sadni Falls,5.0,3,0.0
Chitnavis Centre,5.0,1,
Dandeswar Mahadev Temple,5.0,1,
Shanidh,5.0,1,
Shankar Narayana Temple,5.0,1,
Neemach Mata,5.0,1,
Sacred Heart Shrine,5.0,4,0.0
Dammaiguda Lake,5.0,2,0.0
Laxmi Mata Temple,5.0,7,0.0
Nanicheri - Mullakkodi Bridge,5.0,1,
Chinmaya Mission,5.0,14,0.0
Chinmay Yoga Center,5.0,3,0.0
Shanti Yoga,5.0,1,
Sabhyata Dwar,5.0,1,
Kyichu Ga-Tsal,5.0,3,0.0
Shakoor Lake,5.0,2,0.0
Shahi Jama Masjid,5.0,2,0.0
Savli Taluka Rifle Association,5.0,4,0.0
Selur View Point,5.0,4,0.0
Daivya Adventures,5.0,2,0.0
Saza Wildlife Sanctuary,5.0,2,0.0
Chulgiri Digamber Jain Temple,5.0,4,0.0
Chui Mai Pond,5.0,1,
Dakshina Kali Mandir Temple,5.0,4,0.0
Good Shepherd Auditorium,5.0,2,0.0
Selenite Sports Academy,5.0,1,
Chotanagpur Fun Castle,5.0,1,
Damini the Artisans of India,5.0,1,
Semadoh Lake,5.0,2,0.0
Nd Theme Park,5.0,3,0.0
Chopdekar's Sapna Water Sports,5.0,2,0.0
Seven Seas International Inc.,5.0,1,
Choleshwar Mandir,5.0,1,
Shahabad Fort,5.0,1,
Shaheedan Da Gurdwara,5.0,1,
Jayanti Temple Dhwaj,5.0,2,0.0
Right Lines Art Gallery,5.0,2,0.0
Jugibari Village Tourism Area,5.0,1,
Blue Bubble Water Park,5.0,1,
Sonbhandar Caves,5.0,1,
Dharmeswar Shiva temple,5.0,1,
Sothavilai Beach,5.0,1,
Krem Phyllut,5.0,1,
MunnarSpice.com,5.0,3,0.0
Dharwad Adventure Base,5.0,2,0.0
Muniyattukunnu Hillock,5.0,1,
RamyaSadasivams Art Gallery,5.0,1,
Dhauliganga Dam,5.0,2,0.0
Special Holidays,5.0,10,0.0
Bollywood Centre Point,5.0,1,
Boi Chitra Gallery,5.0,4,0.0
Bodhghat Sath Dhar,5.0,1,
Ramna's Tripur Sundari Temple,5.0,4,0.0
Dhivyaraja Shruthi,5.0,1,
Sree Devi Preview Theatre,5.0,1,
Dhodap Fort,5.0,1,
Goamaze,5.0,1,
Jahaan Tour and Travel,5.0,1,
Munsab Biscuit Store,5.0,3,0.0
Brahmeshwar Mahadev Temple,5.0,2,0.0
Lion Throne Mahabalipuram Hill,5.0,1,
Hulikere Lake,5.0,1,
Dhanvantri Mandir Jain Temple,5.0,2,0.0
Skyview Patnitop by Empyrean,5.0,1,
Dhanya Theatre,5.0,3,0.0
Breach Candy Club,5.0,2,0.0
Brands Republic,5.0,1,
Dharakote Jagannath Temple,5.0,1,
Gobardhana Pitha Garoi Ashram,5.0,5,0.0
Gurdwara Sri Dashmesh Asthan Nahan,5.0,1,
Krishna Bhavan Mandir,5.0,3,0.0
Solaiyappa Swamy Temple,5.0,1,
Braham Dev Ji Temple,5.0,1,
BoxingVoxing!,5.0,1,
Bouncy House,5.0,4,0.0
Somjai Devi Mandir,5.0,3,0.0
Blue Planet Scuba,5.0,1,
Dhola Maru Art Gallery,5.0,4,0.0
Kumaramangalam Park,5.0,5,0.0
Dholwal Dam,5.0,1,
Bindra Park,5.0,1,
Jagdamba Fun World,5.0,2,0.0
Sri Gangadhareshwara Temple,5.0,1,
Bilpudi Mavli Mata Waterfall,5.0,2,0.0
Sri Gowthameswarar Temple,5.0,3,0.0
Ramakrishna Mission Aurangabad,5.0,3,0.0
Joy Durga Temple,5.0,2,0.0
Sri Kalikabhavani Temple,5.0,1,
Sri Kanyakaparameshwari Temple,5.0,3,0.0
Sri Kathiababa Ka Sthan,5.0,3,0.0
Dikrong river,5.0,3,0.0
Rama Holidays,5.0,1,
Sri Lakshmi Hayavadhana Perumal Templ,5.0,2,0.0
Gitanjali Cinema Hall,5.0,1,
Mulkharka Lake,5.0,1,
NimTree Wildlife Safaris,5.0,1,
Sri Mahishamardhini Temple,5.0,1,
Binkadakatti Zoo,5.0,1,
Ramanath Temple,5.0,2,0.0
Mundagakanni amman temple,5.0,1,
Ramdhun Temple,5.0,3,0.0
Sri Adikesavaperumal Temple,5.0,1,
Sri Adishankaracharya Sharada Lakshminarasimha Peetam,5.0,6,0.0
Nilagunda Bhimeshvara Temple,5.0,3,0.0
Goa Potteries,5.0,1,
Kottayi Kovilakom Hillock,5.0,1,
Sri Ayyppa Sannidhi,5.0,1,
Ramdwara,5.0,2,0.0
Sri Bala Kailasa Vinayagar Temple,5.0,2,0.0
Dhutpapeshwar Temple,5.0,3,0.0
Goa Fishing Adventures,5.0,1,
Sri Balaji Temple,5.0,2,0.0
Go Kayak,5.0,2,0.0
Sri Bhadrakali Temple,5.0,1,
Sri Bharadhan Handicrafts,5.0,2,0.0
Biran Ka Gumbad,5.0,1,
Sri Biranchinarayan Temple,5.0,1,
Jintur Neminath Jain Temple,5.0,2,0.0
Sivan Park,5.0,4,0.0
Krishnas Collection Art Gallery,5.0,1,
Musakhand Dam,5.0,3,0.0
Shri Shiv Mastu Jain Tirtha,5.0,2,0.0
Netrani Adventures,5.0,1,
