City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Dona Paula,0.3444,0.5939,992,Positive
New Tehri,0.3443,0.5612,319,Positive
Fatorpa,0.3441,0.4999,10,Positive
Doda,0.3441,0.5524,17,Positive
Ponnampet,0.344,0.5698,42,Positive
Raipur,0.3439,0.5296,1582,Positive
Nashik,0.3439,0.5912,6596,Positive
Carambolim,0.3438,0.5057,8,Positive
Pahalgam,0.3436,0.5948,3882,Positive
Varca,0.3433,0.5769,1695,Positive
Mount Abu,0.3432,0.5801,6871,Positive
Manchanabele,0.3428,0.5693,65,Positive
Nargol,0.3425,0.6212,11,Positive
Modhera,0.3425,0.5624,383,Positive
Chitkul,0.3424,0.6461,70,Positive
Canacona,0.3424,0.5864,3159,Positive
Dehradun,0.3422,0.5744,1500,Positive
Mhow,0.3422,0.5674,57,Positive
Magadi,0.3422,0.5851,876,Positive
Mayapur,0.342,0.5298,121,Positive
Andretta,0.3419,0.5626,8,Positive
Osian,0.3417,0.5402,149,Positive
Banavasi,0.3417,0.5273,18,Positive
Koonthakulam,0.3415,0.5591,8,Positive
Greater Noida,0.3415,0.5738,568,Positive
Korba,0.341,0.4927,21,Positive
Jodhpur,0.3407,0.5638,15745,Positive
Carmona,0.3407,0.7648,3,Positive
Lavasa,0.3406,0.5918,310,Positive
Morni Hills,0.3405,0.6017,35,Positive
Nilambur,0.3404,0.5961,108,Positive
Beypore,0.3404,0.6347,5,Positive
Tumkur,0.3403,0.5817,342,Positive
Yupia,0.3403,0.536,12,Positive
Nawanshahr,0.3397,0.5863,15,Positive
Varkala Town,0.3397,0.5927,3254,Positive
Naukuchiatal,0.3396,0.5879,429,Positive
Gandikota,0.3396,0.6135,276,Positive
Manipal,0.3396,0.5587,457,Positive
Mangeshi,0.3395,0.553,30,Positive
Buxar,0.3395,0.4736,12,Positive
Vypin Island,0.3394,0.5604,1746,Positive
Sonda,0.3393,0.5441,33,Positive
Munnar,0.339,0.5809,11745,Positive
Anand,0.339,0.5587,287,Positive
Tasgaon,0.3389,0.6861,3,Positive
Kumily,0.3388,0.5249,775,Positive
Namsai,0.3387,0.5579,23,Positive
Deogarh,0.3386,0.5149,11,Positive
Mahuva,0.3383,0.5625,35,Positive
Ghaziabad,0.3382,0.5229,886,Positive
Bharuch,0.3381,0.5377,563,Positive
Naggar,0.3381,0.5584,1041,Positive
Vijayawada,0.338,0.5821,1684,Positive
Bhandardara,0.3378,0.6093,108,Positive
Kanipakam,0.3378,0.5497,83,Positive
Mukutmanipur,0.3378,0.5676,125,Positive
Noida,0.3376,0.5584,4849,Positive
Medicherlapalem,0.3376,0.5639,49,Positive
Serchhip,0.3375,0.6722,3,Positive
Chorla,0.3375,0.6167,4,Positive
Marmagao,0.3375,0.6,2,Positive
Kevadia,0.3374,0.5623,95,Positive
Rekong Peo,0.3374,0.5874,30,Positive
Kovalam,0.3373,0.5889,3914,Positive
Somvarpet,0.3368,0.5609,162,Positive
Adoni,0.3367,0.5796,5,Positive
Lachen,0.3361,0.6573,43,Positive
Kolagappara,0.3358,0.545,3,Positive
Bokaro Steel City,0.3358,0.5409,151,Positive
Mahabaleshwar,0.3355,0.5615,7779,Positive
Panshet,0.3353,0.5833,183,Positive
Chalakudy,0.3353,0.6014,248,Positive
Arambol,0.335,0.5915,1248,Positive
Visakhapatnam (Vizag),0.335,0.5683,9969,Positive
Bhatkal,0.3349,0.5942,84,Positive
Ramgarh,0.3349,0.5684,230,Positive
Rakchham,0.3346,0.5988,4,Positive
Nellore,0.3346,0.5482,314,Positive
Bhimtal,0.3345,0.571,936,Positive
Matheran,0.3344,0.5698,2326,Positive
Bathinda,0.3344,0.5459,340,Positive
Bekal,0.3344,0.5945,528,Positive
Udumalpet,0.3342,0.5269,14,Positive
Kadapa,0.3342,0.6252,46,Positive
Palakkad,0.3338,0.5565,1090,Positive
Jalna,0.3337,0.5145,12,Positive
Udaipur,0.3335,0.5698,30333,Positive
Gurugram (Gurgaon),0.3335,0.5546,11395,Positive
Rewari,0.3335,0.4961,78,Positive
Bhadrachalam,0.3335,0.5377,159,Positive
Thergaon,0.3334,0.5034,18,Positive
Nagapattinam District,0.3333,0.1,3,Positive
Sundarban,0.3333,0.5054,11,Positive
Betalbatim,0.3333,0.5809,342,Positive
Manas National Park,0.3333,0.675,1,Positive
Ramanagaram,0.3333,0.3833,1,Positive
Bhopal,0.3332,0.5451,5324,Positive
Nainital,0.333,0.5759,7961,Positive
Colva,0.3327,0.5753,1921,Positive
Shiroda,0.3327,0.6051,24,Positive
Ahmedabad,0.3326,0.5551,18732,Positive
Giridih,0.3325,0.5878,133,Positive
Churu,0.3324,0.5423,70,Positive
Kullu,0.3324,0.6058,1416,Positive
Moga,0.3323,0.5167,35,Positive
Kushalnagar,0.3322,0.5792,129,Positive
Gondia,0.3322,0.5455,255,Positive
Nanded,0.3319,0.5421,277,Positive
Sarahan,0.3318,0.5643,187,Positive
Badgam,0.3317,0.7473,4,Positive
Nuvem,0.3314,0.5523,195,Positive
Valpoi,0.3312,0.5694,40,Positive
Mukteshwar,0.3311,0.5703,1125,Positive
Kudal,0.331,0.5842,52,Positive
Belur,0.331,0.5557,1853,Positive
Gotagodi,0.331,0.4849,64,Positive
Karnal,0.3309,0.5302,183,Positive
Khandala,0.3307,0.5918,2212,Positive
Payyanur,0.3307,0.5522,9,Positive
Arpora,0.3306,0.5755,2273,Positive
Dholpur,0.3305,0.5609,21,Positive
Bharatpur,0.3305,0.557,2080,Positive
Rupnagar,0.3305,0.5598,250,Positive
Chirala,0.3302,0.5929,75,Positive
Ganpatipule,0.3302,0.5702,1820,Positive
Mararikulam,0.3301,0.586,1324,Positive
Valapad,0.33,0.76,1,Positive
Mumbai,0.33,0.5555,81483,Positive
Ayyampuzha,0.3299,0.5425,11,Positive
Malpe,0.3298,0.5623,557,Positive
Kodaikanal,0.3298,0.5755,11150,Positive
Bhitarkanika National Park,0.3298,0.5825,72,Positive
Salem,0.3297,0.5862,959,Positive
Vasco da Gama,0.3297,0.5571,576,Positive
Kawardha,0.3294,0.5735,76,Positive
Rajaji National Park,0.3293,0.5977,51,Positive
Jalgaon,0.3292,0.5519,176,Positive
Malvan,0.3292,0.5559,1404,Positive
Namchi,0.3291,0.5822,606,Positive
Halebid,0.3291,0.5769,785,Positive
Sagara,0.3289,0.5638,76,Positive
Sernabatim,0.3289,0.5431,37,Positive
Navi Mumbai,0.3288,0.5541,4057,Positive
Achooranam,0.3287,0.5359,44,Positive
Sri Ganganagar,0.3286,0.5345,61,Positive
Tezpur,0.3285,0.5783,281,Positive
Hyderabad,0.3285,0.5587,39622,Positive
Dharuhera,0.3284,0.5298,6,Positive
