Place,primary_city
Arulmigu Sri Muppathamman Temple,Chennai
Arulmigu Sri Veera Anjanayer Temple,Chennai
Arulmigu Sri Yoga Narasinga Perumal Thirukovil,Madurai
Arulmigu Subramaniya Swamy Temple,Tiruchendur
Arulmigu Subramanyar Thirukoil Temple,Pollachi Town
"Arulmigu Swaminatha Swami Temple, Swamimalai",Kumbakonam
Arulmigu Thoppu Karuppasamy Kovil,Sivakasi
Arulmigu sri Vilakoli Perumal Temple,Kanchipuram
Arultharum Mutharamman Thirukoil Temple,Thiruchendur
Arumugaswamy Temple,Nagapattinam
Aruna Janaki Mahal,Chennai
Arunachala Handicrafts,Thiruvannamalai
Arunachala Mountain,Tiruvannamalai
Arunachaleshwara Temple,Thiruvannamalai
Aruvikkachal Waterfall,Kottayam
Aruvikkara Dam,Trivandrum
Aruvikkuzhi Waterfall,Pallickathodu
Arvalam Waterfalls,Valpoi
Arvalem Waterfalls,Sanquelim
Arvanah,Udaipur
Arvelam Falls,Sanquelim
Arwah Cave,Sohra
Arya  Ayurvedic Center,Colva
Arya Ayurveda and Wellness,Benaulim
Arya Ayurvedic Centre,Varca
Arya Kanya Gurukul,Porbandar
Arya Samaj Mandir,Mumbai
Arya Samaj Mandir Temple,Shimla
Arya Square Mall,Jaipur
Arya Vidya Sala,Malappuram
Aryabhatt Planetarium,Rampur
Aryabhushan Theatre,Pune
Aryadurga Devi Temple,Ratnagiri
Aryan Art Gallery,New Delhi
Aryankavu Shastha Temple,Thenmala
Aryapalli Beach,Brahmapur
"Asadgad Fort , Akola",Akola
Asdani Adventures,Chundale
Asha Kiran Planetarium,Belgaum
Ashapura Mata Mandir,Jodhpur
Ashapurna Mall,Jodhpur
Ashapurni Mandir,Pathankot
Asharamji Bapu Ashram,Rajkot
Ashirwad Lawns,Kozhikode
Ashok Cosmos Mall,Agra
Ashok Pillar,Vaishali
Ashok Shilalekh,Junagadh
Ashoka Beach,Trivandrum
Ashoka Edicts,Yerragudi
Ashoka Falls,Vihigaon
Ashoka Pillar,Varanasi
Ashoka Stupa Peak,Rajgir
Ashokan Pillar,New Delhi
Ashokan Rock Edict,Bhubaneswar
Ashrafi Mahal,Mandu
Ashta Lakshmi Temple,Hyderabad
Ashtabhuja Temple,Mirzapur
Ashtabhuji Devi Temple,Mirzapur
Ashtalakshmi Temple,Chennai
Ashtamukhi Pashupatinath Temple,Mandsaur
Ashtavinayak Temple,Latur
Ashul Sharma,Varanasi
Ashutosh Museum of Indian Art,Kolkata
Ashvek Vintage World,Nuvem
Ashwem Beach,Morjim
Asia Society and Museum,Mumbai
Asiatic Society,Kolkata
Asigarh Fort,Hansi
Asirgarh Fort,Burhanpur
Askot Sanctuary,Pithoragarh
Askot Wildlife Sanctuary,Kumaon
Asman Garh Palace,Hyderabad
Asmangadh Fort,Hyderabad
Asola Bhatti Wildlife Sanctuary,New Delhi
Asparagus,Varkala Town
Aspinwall House,Fort Kochi
Assam Rajyik State Museum,Guwahati
Assam State Zoo,Guwahati
Assam State Zoo and Botanical Garden,Guwahati
Assi Ghat,Varanasi
Assumption Forane Church,Sulthan Bathery
Astha Kunj Park,New Delhi
Astha Path,Rishikesh
Asthachal Cave Shelters,Pachmarhi
Asthalakshmi Temple,Hyderabad
Asthana Mandapam,Tirupati
Astrologer House,Mumbai
Astronomical Observatory,Nainital
Astrophysical Observatory,Kodaikanal
Asuankundu Dam,Cheruthuruthi
Asurankundu Dam,Thrissur
Asurkhol,Keonjhar
Asvathama Rock,Bhubaneswar
Aswali Dam,Bordi
Atariya Temple,Rudrapur
Ater Fort,Bhind
Ath khamba,Gyaraspur
Athangudi Palace Tiles,Karaikudi
Athankarai Pallivasal,Tirunelveli
Athirapalli Water Falls,Ayyampuzha
Athirappilly Falls,Athirappilly
Athirappilly Waterfalls,Thrissur
Athisayam Water Amusement Park,Madurai
Athmanathaswamy Temple,Sivaganga
Athoor Village,Dindigul
Athreyaa Art Gallery,Chennai
Atibaleshwar Temple,Mahabaleshwar
Atlantic water world,New Delhi
Atlantis Goa Holidays,Maina
Atmeshwar Temple,Pushkar
Atomic Energy Junior College,Mumbai
Atreya Vedic and Spice Plantation,Mollem National Park
Atria Mall,Mumbai
Atta Market,Noida
Attahas Temple,Katoya
Attapadi Reserve Forest,Palakkad
Attappadi Hills,Mannarkkad
Attiveri Bird Sanctuary,Astakatti
Attraction,Dalhousie
Attukal Bhagavathy Temple,Trivandrum
Augharnath Mandir,Meerut
Auli,Chamoli
Auli Ski & Snowboard School,Auli
Aundha Nagnath Temple,Hingoli
Aura Mall,Bhopal
Aurangabad Caves,Aurangabad
Aurangzeb's Mosque,Lucknow
Aurangzeb's Tomb,Khuldabad
Auro Beach,Pondicherry
Aurobindo Gallery,New Delhi
Auroville,Auroville
Auroville Botanical Gardens,Auroville
Auroville Papers,Auroville
Auroville Visitors Center,Auroville
Auto World Vintage Car Museum,Ahmedabad
Ava Art Gallery,Darjeeling
Avadh Palace,Rajkot
Avadhoota Datta Peetham,Mysuru (Mysore)
Avalabetta,Chikkaballapur
Avalanche Eco Tourism,Ooty
Avalanche Lake,Ooty
Avanavanchery Sri Indilayappan Temple,Trivandrum
Avani,Kolar
Avani Kumaon,Pithoragarh
Avani Riverside Mall,Howrah
Avani Travel Services,Dibrugarh
Avant Garde Antiques & Art,Mumbai
Avantishwar Temple,Pulwama
Avantiswami Temple,Awantipora
Avenue Centre Shoppe,Trivandrum
Avinashi Temple,Tiruppur
Aviserv Lounge,Mumbai
Avudaiyarkoil,Pudukkottai
Awas Beach,Alibaug
Awunching,Imphal
Axis Mall,Kolkata
Ayappa Temple,Jaipur
Ayappan Pooja Sangam Temple,Coimbatore
Ayikudi Murugan Temple,Tirunelveli
Ayodhya house boat,Kottayam
Ayuh Ayurveda Spa,Maradu
Ayur Arogyam,Khajuraho
Ayur Clinic Goa,Arpora
AyurKshethra,Kumarakom
Ayurveda Center Om-Namaste,Benaulim
Ayurveda Treatment Centre,Vypin Island
Ayurvedic Museum,Junagadh
Ayurvedic University,Jamnagar
Ayya Art Gallery,Chennai
Ayya Vaikundar Nizhal Thangal,Kanyakumari
Ayyan Kovil,Tiruppur
Ayyana Kere,Chikmagalur
Ayyanar Falls,Rajapalayam
Ayyanar Horse Temple,Kanadukathan
Ayyanar Sunai,Tirunelveli
Ayyappa Devasthanam,Hyderabad
Ayyappa Temple,New Delhi
Ayyappan Temple,Chennai
Azad Hind Gram,New Delhi
Azhagar Perumal Kovil,Chennai
Azhakodi Devi Temple,Kozhikode
Azheekal Beach,Azheekal
Azhikkal Beach,Azhikode
Azhikode Munakkal Beach,Kodungallur
Azhithala Beach,Nileshwar
Azimganj,Murshidabad
Aziz and SON'S,Benaulim
Azulejos de Goa,Panjim
B M Birla Auditorium,Jaipur
B M Birla Planaturium,Chennai
B SIX KERALA HOLIDAYS,Attingal
B. G. Sharma Art Gallery,Udaipur
B.M. Birla Planetarium,Hyderabad
B.V.R.S Cricket Ground,Hyderabad
BAPS Lord Swaminarayan Temple Anand,Anand
BAPS Shri Swaminarayan Mandir,Pune
BAPS Shri Swaminarayan Mandir (Aksharwadi Temple),Bhavnagar
BB Dadar Market,Mumbai
BB Mall,Bhiwadi
BBD Bagh,Kolkata
BM Habitat Mall,Mysuru (Mysore)
BNHS Conservation Education Centre,Mumbai
BRP Dam,Shimoga
BRT Wildlife Sanctuary,Bandipur
Baba Akhandalamani Temple,Bhadrak
Baba Baghel Singh Sikh Heritage Multimedia Museum,New Delhi
Baba Baidyanath Temple,Deoghar
Baba Banda Singh Bahadur War Memorial,Mohali
Baba Barchi Bahadur Dargah,Aligarh
Baba Barkhandi Nath Temple,Bareilly
Baba Baroh Temple,McLeod Ganj
Baba Basukinath Dham,Dumka
Baba Bhalku Railway Museum,Shimla
Baba Bhayaharan Nath Dham,Pratapgarh
Baba Bhole Peer,Nakodar
Baba Biswanath Mandir,Kolkata
Baba Budangiri,Chikmagalur
Baba Bukhari Peer,Kaipadar
Baba Deep Singh Ji Memorial,Amritsar
Baba Gauri Shankar Temple,Kannauj
Baba Harbhajan Singh Memorial Temple,Gangtok
Baba Jatileswar,Jalpaiguri
Baba Mahendra Nath,Gorakhpur
Baba Mohan Ram Temple,Bhiwadi
Baba Munjeshwar Nath Mandir,Gorakhpur
Baba Neem Karoli Hanuman Mandir,New Delhi
Baba Pehar Devata Temple,Nagrota
Baba Ramdev Temple,Jaisalmer
Baba Reshi Shrine,Gulmarg
Baba Rudranand Ashram,Una
Baba Sumeshwar Nath Temple,Dumka
Baba Swami Dham,Navsari
Baba Vishwanath Mandir,Kolkata
Baba's Chavadi,Shirdi
Babbington Point,Mahabaleshwar
Babington Point,Mahabaleshwar
Babore Temples,Udhampur
Babughat,Kolkata
Babukhan Mall,Hyderabad
Babulnath Bandstand Garden or Seth Tulsidas Kilachand Garden,Mumbai
Babulnath Temple,Mumbai
Baby Beach,Kannur
Back 2 Village - Day Tours,Vaikom
Bada Bagh,Jaisalmer
Bada Dev - KamruNag Temple,Mandi
Bada Ganpati,Indore
Bada Mahal,Udaipur
Bada Talaab,Mahbubnagar
Badaghagara Waterfall,Keonjhar
Badaghagra Falls,Rourkela
Badal Mahal,Bundi
Badal Mahal Gate,Chanderi
Badalgarh Fort,Jhunjhunu
Badami Cave Temples,Badami
Badami Fort,Badami
Badamtam Tea Estate,Darjeeling
Badamwari Garden,Srinagar
Badarama Wildlife Sanctuary,Sambalpur
Badavi Linga,Hampi
Bade Ganeshji Ka Mandir,Ujjain
Bade Hanuman Jee Temple,Allahabad
Bade Hanuman Ji Mandir,Moradabad
Bade Mahadev,Pachmarhi
Bade Mandir,New Delhi
Badera Chaturyug Dham,Katni
Badi Jheel Lake,Bhopal
Badiger Gudi Temple,Bagalkot
Badkhal Lake,Faridabad
Badkhalsa Memorial Museum,Rai
Badnore Fort,Bhilwara
Bado Rasbadi Mandir,Kolkata
Badrakali Amman Temple,Ramanathapuram
Badrakali Temple,Nashik
Badrakaliamman Temple,Pollachi Town
Badri Kedarnath Shiva Temple,Jamnagar
Badshah Tomb,Srinagar
Badshahi Ashurkhana,Hyderabad
Badshahi Bag Gurudwara,Ambala
Baga Beach,Baga
Baga Retreat House,Bardez
Bagawath Ramanujar Manimandapam,Salem
Bageshwarnath Temple,Agra
Bagh Caves,Dhar
Bagh Travels,Ranthambore National Park
Bagh-e Bahu Aquarium,Jammu City
Bagh-e-Bahu,Jammu City
Baghael Museum,Rewa
Baghel Museum,Bandhavgarh National Park
Bagheswari Temple,Bongaigaon
Baghmunda Waterfall,Gumla
Baglamukhi Temple,Kangra
Baglihar Dam,Patnitop
Bagnath Temple,Bageshwar
Bagora and Chimney Villages,Kurseong
Bagore Ki Haveli Museum,Udaipur
Bagtesh Fashion,Jodhpur
Bahadurgarh Taxi Service,Bahadurgarh
Bahikhowa Maidam,Dibrugarh
Bahinabai Park,Jalgaon
Bahirangeshwar Siva Temple,Bhubaneswar
Bahiri Cave,Karjat Town
Bahmani Tombs,Bidar
Bahrot Caves,Bordi
Bahubali Monolith,Karkala
Bahuchar Mata Temple,Mehsana
Bahuti Falls,Rewa
Bai Harir Sultani Mosque,Ahmedabad
Bai Pirojbai Dadabhoy Manekji Vatcha Agiary,Mumbai
Bai Vikas Vidya Mandir,Mumbai
Baichung Stadium,Namchi
Baidhnath Square,Nagpur
Baijnath Temple,Kausani
Baiju Temple,Deoghar
Bailadila Mountains,Bastar
Bailey's Walk,Mount Abu
Baina Beach,Vasco da Gama
Baisgazi Wall,Malda
Baisipali Wildlife Sanctuary,Nayagrh
Bajrabahari Temple,Chapagaon
Bajramath Temple,Vidisha
Bajrangarh Fort,Guna
Bajreshwari Devi Temple,Kangra
Bakkhali Watch Tower,Bakkhali
Bakthang Waterfalls,Gangtok
Bal Gandharva Rang Mandir,Mumbai
Bal Gopal Temple,Bhadrak
Bal Sangrahalaya,Lucknow
Bal Udyan,Silvassa
Bala Hanuman Temple,Jamnagar
Bala Murali Theatre,Chennai
Bala Quila,Alwar
Bala Sundri Mandir Hathira,Kurukshetra
Bala Tripura Sundari Temple,Mysuru (Mysore)
Balachari Beach,Jamnagar
Baladevajew Temple,Keonjhar
Baladevjeu Temple,Keonjhar
Balaji Devsthan,Nashik
Balaji Dham,Sri Ganganagar
Balaji Mandir,Gwalior
Balaji Mandir Temple,Nagpur
Balaji Sevasamiti Buldana,Buldana
Balaji Talao,Washim
Balaji Temple,Valparai
Balaji Temple Mehkar,Mehkar
Balajipuram Temple,Betul
Balak Shishu Mandir,Pune
Balakrishna Temple,Hampi
Balamuri Ganapati Temple,Kollur
Balancing Rocks,Jabalpur
Balapur Fort,Akola
Balaram Ambaji Wildlife Sanctuary,Ambaji
Balaram Mahadev Temple,Palanpur
Balaramgadi Beach,Chandipur
Balbhim Mandir,Pune
Baldeoji Temple,Panna
Bale Miyan ki Dargah,Meerut
Baleshwar Beach,Puri
Baleshwar Jain Temple,Surat
Baleshwar Temple,Champawat
Balewadi Stadium (Shri Shiv Chhatrapati),Pune
Balh Valley,Mandi
Balidaan Stambh - War Memorial,Jammu City
Balighai Beach,Puri
Baliharachandi Beach,Puri
Baliharachandi Temple,Puri
Balkampet Yellamma Temple,Hyderabad
Balkeshwar Mandir,Agra
Balkrishna Maharaja Temple,Mumbai
Ballal Dhipi,Mayapur
Ballalarayana Durga Fort,Chikmagalur
Ballard Estate,Mumbai
Ballavpur Wildlife Sanctuary,Santiniketan
Bally Bridge,Barasat
Balmaadi Estate,Gudalur
Balmuri Falls,Srirangapatna
Balpakram National Park,Tura
Balphakram National Park,Shillong
Balsamand Lake and Garden,Jodhpur
Baltal Valley,Sonamarg
Balti Heritage House and Museum,Turtuk
Balukhand Wildlife Sanctuary,Puri
Balunkeswar Mahesh Temple,Keonjhar
Balunkeswar Temple,Sambalpur
Balurghat College Museum,Balurghat
Balvatika,Ahmedabad
Baman Devi Mandir,Mumbai
Bamanbudo Waterfall,Canacona
Bamanghal,Ratnagiri
Bamanvad Ji Temple,Sirohi
Bamanvadji Temple,Sirohi
Bambolim Beach,Panjim
Bamboo Garden,Amravati
Bamdev Shangha Ashram,Tarapith
Bamni Dadar,Kanha National Park
Bamuni Hills,Tezpur
Banana Surf School,Morjim
Banaras Cottage Emporium,New Delhi
Banaras Ghats,Varanasi
Banaras Hindu University,Varanasi
Banaras Toy Museum,Varanasi
Banashankari Temple,Badami
Banasur ka Kila,Champawat
Banasura Hill,Kalpetta
Banasura Sagar Dam,Vythiri
Banasura Spices Garden,Padinjarathara
Banatheertham Falls,Tirunelveli
Banavasi Temple,Sirsi
Bandaje Arbi Falls,Belthangady
Bandamaisamma Temple,Hyderabad
Bandar,Navsari
Bandarpunch,Uttarkashi
Bandel,Hooghly
Bandhavgarh Ancient Caves,Bandhavgarh National Park
Bandhavgarh Fort,Umaria
Bandhavgarh Hill,Bandhavgarh National Park
Bandhavgarh National Park,Bandhavgarh National Park
Bandipur National Park and Tiger Reserve,Bandipur
Bandiwan Maruti Mandir,Pune
Bandra Fort,Mumbai
"Bandra Station, Western Railway",Mumbai
Bandra Talao,Mumbai
Bandra-Worli Sea Link,Mumbai
Bandstand Promenade,Mumbai
Bane Waterfall,Jashpur
Baner Hill,Pune
Baneshwar Temple,Pune
Baneshwar temple,Baneshwar
Baneswar Shiva Temple,Cooch Behar
Banga Jang Lake,Tawang
Bangaaru Maisamma Temple,Hyderabad
Bangalore Aquarium,Bengaluru
Bangalore Central Mall,Bengaluru
Bangalore Development Authority Complex,Bengaluru
Bangalore Fort,Bengaluru
Bangalore International Exhibition Centre,Bengaluru
Bangalore Metro Rail Corporation Limited,Bengaluru
Bangalore Palace,Bengaluru
Bangalore Revival Center,Bengaluru
Bangalore Turf Club Race Course,Bengaluru
Bangalpukhari Tank,Jorhat
Banganga,Mumbai
Bangaram Island,Bangaram
Bangaru Kamakshi Temple,Thanjavur
Bangaru Tirupati,Kolar
Bangdi Bazaar,Rajkot
Bangeshwar Mahadev,Howrah
Bangiya Sahita Parishad Chitrasala,Kolkata
Banglabandha Zero Point,Siliguri
Bango Dam,Korba
Bangur Museum,Pali
Banibal Nag,Gulmarg
Banjari Mata Mandir,Raipur
Banjhakri Water Falls,Gangtok
Bank of India - History of Banking Museum,Mumbai
Bankapura Peacock Sanctuary,Haveri
Banke Bihari Temple,Vrindavan
Bankebihari Temple,Bharatpur
Bankot Fort,Shrivardhan
Bannari Amman Temple,Bannari
Bannerghatta Biological Park,Bengaluru
Bannerghatta National Park,Bengaluru
Banni Khera Farm,Rohtak
Banni Mata Temple,Banni
Banpukuria Deer Park,Mukutmanipur
Bans Water Park,Chittoor
Bansagar Dam,Shahdol
Bansal Mall,Vadodara
Bansi Gopal Temple,Chamba
Bantony Castle,Shimla
Bap Teng Kang Waterfall,Tawang
Baps Shri Swaminarayan Mandir,Jamnagar
"Baps Shri Swaminarayan Mandir, Kolkata",Kolkata
Baps Swaminarayan Mandir,Vadodara
Baptist Mission Church,Midnapore
Bapu Pujari Mandir,Mumbai
Bara Asthal Monastery,Midnapore
Bara Baoli,Dausa
Bara Bazaar,Nainital
Bara Chukki,Chamarajanagar
Bara Imambara,Lucknow
Bara Kaman,Vijayapura
Bara Pathar Temple,Dalhousie
Barabar Caves,Gaya
Barabar Hills,Gaya
Barabati Fort,Cuttack
Barabati Stadium,Cuttack
Barachukki and Gaganachukki Falls,Mandya
Baradari Garden,Patiala
Baradari Iwaz Khan Aqueduct,Aurangabad
Baradari Summer Resort of Maharaja Ranjit Singh Ji,Gurdaspur
Baragaon,Shimla
Barah Mihirer Dhipi Archeological Site,Kolkata
Barah kaman,Bijapur
Barahi Temple,Champawat
Barala Devi Temple,Phulbani
Baralacha Pass,Keylong
Baramotichi Vihir,Satara
Baramura Eco Park,Agartala
Baranti,Purulia
Barasat Stadium,Kolkata
Barath Sahib,Gurdaspur
Barathiyar Meseum at Pondicherry,Pondicherry
Barbarua Maidam,Dibrugarh
Barbotey Rock Garden,Darjeeling
Barda Hills Wildlife Sanctuary,Jamnagar
Bardar Sanctuary,Jamnagar
Barddhaman Maharaja Palace,Kolkata
Bardhaman Science Centre,Barddhaman
Bargabheema Temple,Midnapore
Bargi Dam,Jabalpur
Barkana Falls,Agumbe
Barmer Fort,Barmer
Barna Dam,Raisen
Baroda Museum And Picture Gallery,Vadodara
Baroduari Mosque,Malda
Baroli Temples Complex,Rawatbhata
Barot Dam,Mandi
Barot Valley,Mandi
Baroton Museum,Bhavnagar
Barren Hills,Vagamon
Barsana Shri Radha Rani Temple,Mathura
Barsi Gate,Hansi
Barso Pani,Hazaribagh
Barton Library,Bhavnagar
Barua Sagar,Jhansi
Barua Sagar Fort,Jhansi
Barujjey Pukur,Kamarpukur
Basadi Halli,Halebid
Basai Wetlands,Gurugram (Gurgaon)
Basant Art Emporium,Jaisalmer
Basar Saraswati Temple,Adilabad
Basaralu Temple,Mandya
Basavanagudi,Bengaluru
Basavanagudi Aquatic Centre,Bengaluru
Basavanna Statue,Bengaluru
Basavaraj Durga,Honnavar
Basaveshwara Statue,Gadag
Basel Mission Church,Hubli-Dharwad
Basgo Monastry,Leh
Basheshwar Mahadev Temple,Bajaura
Basilica of Bom Jesus,Goa Velha
Basilica of Our Lady of Good Health,Velankanni
Basilica of Our Lady of Graces,Meerut
Basistha Ashram Temple,Guwahati
Baspa River,Sangla
Bassein Fort,Thane
Bassi Wildlife Sanctuary,Chittaurgarh
Bastar Palace,Bastar
Bastion Bunglow,Kochi (Cochin)
Basukinath Temple,Deoghar
Bat Tola Market,Digha
Batadrava Than,Nagaon
Batamangala Temple,Sambalpur
Batapady Beach,Mangalore
Batasia Loop,Darjeeling
Batesar Group Of Temples,Morena
Bateshwar Temples,Agra
Bateswar group of temples - Morena Gwailor,Gwalior
Bathi Gudda,Davangere
Bathinda Fort,Bathinda
Bathinda Lake,Bathinda
Bathrakaliamman Temple,Salem
Batuk Bhairav Mandir,Varanasi
Bawan Jinalaya Jain Temple,Jalore
Bawan Pokhar Temple,Vaishali
Bawana Industrial Area,New Delhi
Bawangaja,Barwani
Bawey Wali Mata Temple,Jammu City
Bawkhaleshwar temple,Navi Mumbai
Bay Island Driftwood Museum,Kottayam
Bay Pride Mall,Kochi (Cochin)
Bay of Life Surf & SUP,Kovalam
Baywatch Amusement Park,Kanyakumari
Baz Bahadur's Palace,Mandu
Beach Road,Visakhapatnam (Vizag)
Beadon Falls,Shillong
Bear Shola Falls,Kodaikanal
Bears Cave,Yercaud
Beas Kund,Manali
Beas River,Manali
Bedekar Ganpati Mandir,Pune
Bedi Hanuman Temple,Puri
Bedi Port,Jamnagar
Bedsa Caves,Kamshet
Bedse Caves,Pune
Bee Falls,Pachmarhi
Beechanahalli Dam,Mysuru (Mysore)
Beejamandal Temple,Khajuraho
Beeji's Park,Dalhousie
Beemapally Mosque,Trivandrum
Begu Hajjam's Mosque,Patna
Begum Hazrat Mahal Park,Lucknow
Begum Mahal,Mandla
Begum Palace Ruins,Pachmarhi
Begum Samru's Palace,New Delhi
Begumpet Mosque,Hyderabad
Begumpuri Masjid,New Delhi
Begur Fort,Bengaluru
Begur Wildlife Sanctuary,Kalpetta
Behta Bridge,Raebareli
Behta Hazipur Railway Station,Hajipur
Bejai Museum,Mangalore
Bekal Beach,Bekal
Bekal Fort,Kasaragod
Bekal Ripples,Nileshwar
Bekal Riviera,Nileshwar
Bekar Bandh,Dhanbad
Bel Mahadev,Jashpur
Bela Bhawani Temple,Pratapgarh
Bela Church,Kasaragod
Belapur Fort,Navi Mumbai
Belapur Mango Garden,Navi Mumbai
Belavadi,Chikmagalur
Belekan beach,Gokarna
Belgaum Fort,Belgaum
Belghar Nature Camp,Phulbani
Belha Temple,Damoy
Belkal Theertha Falls,Udupi
Bellandur Lake,Bengaluru
Bellary Fort,Bellary
Bellary Zoo,Bellary
Belle Mall,Mumbai
Bellikkal Lake,Ooty
Belum Caves,Kurnool
Belur Golf Course,Belur
Belur Math,Belur
Belvedere House,Kolkata
Belvedere Point,Matheran
Benaulim Beach,Benaulim
Bengal Natural History Museum,Darjeeling
Bengal Safari,Siliguri
Bengaluru City Railway Station,Bengaluru
Beni Sagar Dam,Khajuraho
Benimadhav Temple,Allahabad
Benne Hole Falls,Sirsi
Benog Wildlife Sanctuary,Mussoorie
Benu Ban Bihari Temple,Agartala
Benuban Vihar,Agartala
Benz Celebrity Wax Museum,Calangute
Berijam Lake,Kodaikanal
Bering Nag Temple,Sangla
Besant Nagar Beach,Chennai
Best Shore Trips,Marmagao
Bestech Square Mall,Mohali
Bet Dwarka,Jamnagar
Betaab Valley,Pahalgam
Betab Valley,Srinagar
Betalbatim Beach,Betalbatim
Beth El Synagogue,Kolkata
Bethesda International Prayer Centre,Coimbatore
Betla Fort,Daltonganj
Bettada Byraveshwara Temple,Sakleshpur
Betty's Place Boat Trips,Cavelossim
Betul Beach,Cavelossim
Betwa River,Orchha
Beypore Beach,Kozhikode
Beypore Lighthouse,Beypore
Beyt Dwarika,Dwarka
Beyt Dwarka Beach,Jamnagar
Bhabani Pathak's Tilla,Durgapur
Bhadaini Ghat,Varanasi
Bhadbhada Dam,Bhopal
Bhadeshwar Nath,Basti
Bhadiya Kund,Shivpuri
Bhadkeshwar Mahadev Mandir,Dwarka
Bhadra Fort,Ahmedabad
Bhadra Fort & Teen Darwaja,Ahmedabad
Bhadra Maruti,Aurangabad
Bhadra River Project Dam,Shimoga
Bhadra Wildlife Sanctuary,Chikmagalur
Bhadrakali Temple,Kurukshetra
Bhadrakali Temple (Shri Devi Koop),Thanesar
Bhadrawati Jain Temple,Chandrapur
Bhadwarmata Temple,Neemuch
Bhagabati Temple,Khordha
Bhagavan Mahavir Government Museum,Guntur
Bhagavan Sri Ram Mandir,New Delhi
Bhagavat Dham,Navi Mumbai
Bhagavatha Padithurai Ghat,Kumbakonam
Bhagavathy Amman Temple,Kanyakumari
Bhagavathy Temple,Pathanamthitta
Bhagawan Bahubali Statue (Gommateshwara),Hassan
Bhagchand Ki Kothi,Ajmer
Bhageshwar Temple,Ratnagiri
Bhagirathi Park,Bhawanipatna
Bhagshunath Temple,Kangra
Bhagsu Naag Temple,Bhagsu Nag
Bhagsu Waterfall,McLeod Ganj
Bhagsunath Temple,McLeod Ganj
Bhagwa Kuan,Sahibganj
Bhagwan Rishabh Dev Udyan,Bhopal
Bhagwant Temple,Barshi
Bhagwat BIG Cinemas,Solapur
Bhagwat Vidyapith,Ahmedabad
Bhagwati Mandir,Bathinda
Bhagwati Temple,Malvan
Bhagyabhumi Nabhashchandra Parshwadham,Palanpur
Bhai Dharam Singh Gurudwara,Hastinapur
Bhainsrodgarh Wildlife Sanctuary,Chittaurgarh
Bhairabi Temple,Tezpur
Bhairabkunda,Udalguri
Bhairamgarh Sanctuary,Bijapur
Bhairav Nath Temple,Kedarnath
Bhairava Temple,Chengalpattu
Bhairavakona,Machavaram
Bhairavnath Temple,Khandala
Bhairi Caves,Kamshet
Bhairm Baba Temple,Bastar
Bhairo Baba Mandir,Azamgarh
Bhairo Baba Temple,Katra
Bhaironath Temple,New Delhi
Bhaja Caves,Khandala
Bhaji Caves,Lonavala
Bhakra Dam,Rupnagar
Bhakta Kannappa Temple,Srikalahasti
Bhaktavatsala Perumal Temple,Chennai
Bhakthajaneswarar Temple,Villupuram
Bhakti Dham Mandir,Mumbai
Bhakti Dham Shrine,Nashik
Bhakti Mandir,Ugapur
Bhalei Mata Temple,Chamba
Bhalka Tirth,Somnath
Bhalki Machan,Bhalki
Bhalswa Horseshoe Lake,New Delhi
Bhalu Dam,Ranikhet
Bhalu Gaad Waterfalls,Mukteshwar
Bham Dam,Amravati
Bhama Askhed Dam,Pune
Bhamaria Vav,Kheda
Bhamragarh Wildlife Sanctuary,Chandrapur
Bhand Devra Temple,Baran
Bhandar Dongar,Talegaon
Bhandardara,Bhandardara
Bhandardara Lake (Lake Aurthur Hill),Ahmednagar
Bhandup Pumping Station,Mumbai
Bhandupeshwar Mahadev Mandir,Mumbai
Bhangarh Fort,Alwar
Bhangzang Salamander Lake,Kurseong
Bhanu Pishi House,Bankura
Bharadwaja Tirtham,Srikalahasti
Bharat Kala Bhavan,Varanasi
Bharat Koop,Chitrakoot
Bharat Ma,Mount Abu
Bharat Mandir,Rishikesh
Bharat Mata Chowk,Raipur
Bharat Mata Mandir,Aurangabad
Bharat Mata Temple,Varanasi
Bharat Milap Mandir,Chitrakoot
Bharat Natya Sanshodhan Mandir,Pune
Bharat Neer Cave Shelter,Pachmarhi
Bharat Pawar,Panvel
Bharat Sevashram Sangha Temple,Sundarbans National Park
Bharat Yoga Session,Vagator
Bharath Art And Crafts,Channapatna
Bharath Mall,Mangalore
Bharath Matha College,Kochi (Cochin)
Bharath Matha Temple,Kanyakumari
Bharathapuzha River,Ponnani
Bharatharani Church,Ernakulam
Bharati Government Park,Pondicherry
Bharatiya Sanskruti Darshan Museum,Bhuj
Bharatiya Vidya Bhavan,Mumbai
Bharatplaza,Jodhpur
Bharatpur Beach,Neil Island
Bhardi Devi Temple,Malvan
Bhardwaj Lake,New Delhi
Bharmani Mata Temple,Bharmour
Bharthana National Park,Surat
Bhartrihari Caves,Ujjain
Bhartrihari Temple,Alwar
Bharuch Fort,Bharuch
Bhaskar,Srikakulam
BhaskarJyoti Entertainment,Sivasagar
Bhaskareeyam Convention Centre,Ernakulam
Bhaskaresvara Temple,Bhubaneswar
Bhaskargad,Igatpuri
Bhate Bunder Beach,Mira Bhayandar
Bhatghar Dam,Pune
Bhatia Park,Jamshedpur
Bhatinda Fall,Dhanbad
Bhatinda Zoological Park,Bathinda
